"Virus","AlleleA","AlleleB","p(fold change < 1)","Estimated fold change","Lower 95% CrI","Upper 95% CrI"
"SIVmusGAB11","Allele 2","Allele 4","0.12","1.5","0.78","2.7"
"SIVmusGAB11","Allele 2","Allele 5","0.19","1.3","0.70","2.5"
"SIVmusGAB11","Allele 2","Allele 6","0.041","1.8","0.93","3.3"
"SIVmusGAB11","Allele 2","Allele 7","<0.00001","5.7","2.9","12"
"SIVmusGAB11","Allele 3","Allele 7","0.0062","2.4","1.2","5.1"
"SIVmusGAB11","Allele 4","Human","0.36","1.1","0.56","2.3"
"SIVmusGAB11","Allele 4","Allele 1","0.40","1.1","0.57","2.0"
"SIVmusGAB11","Allele 4","Allele 3","0.076","1.6","0.84","3.1"
"SIVmusGAB11","Allele 4","Allele 6","0.29","1.2","0.63","2.3"
"SIVmusGAB11","Allele 4","Allele 7","0.000054","3.9","2.0","8.0"
"SIVmusGAB11","Allele 5","Human","0.26","1.3","0.63","2.6"
"SIVmusGAB11","Allele 5","Allele 1","0.28","1.2","0.64","2.3"
"SIVmusGAB11","Allele 5","Allele 3","0.040","1.8","0.93","3.4"
"SIVmusGAB11","Allele 5","Allele 4","0.37","1.1","0.59","2.1"
"SIVmusGAB11","Allele 5","Allele 6","0.19","1.3","0.71","2.5"
"SIVmusGAB11","Allele 5","Allele 7","0.000026","4.3","2.2","8.9"
"SIVmusGAB11","Allele 6","Allele 3","0.19","1.3","0.69","2.5"
"SIVmusGAB11","Allele 6","Allele 7","0.00047","3.2","1.6","6.7"
"SIVsmmFTq","Human","Allele 1","0.46","1.0","0.51","2.1"
"SIVsmmFTq","Human","Allele 3","<0.00001","43","16","150"
"SIVsmmFTq","Human","Allele 4","0.42","1.1","0.53","2.2"
"SIVsmmFTq","Human","Allele 5","0.025","2.0","1.0","4.2"
"SIVsmmFTq","Human","Allele 6","0.057","1.8","0.87","3.6"
"SIVsmmFTq","Human","Allele 7","<0.00001",">3000*","3000",">3000*"
"SIVsmmFTq","Allele 1","Allele 3","<0.00001","42","17","140"
"SIVsmmFTq","Allele 1","Allele 4","0.45","1.0","0.55","2.0"
"SIVsmmFTq","Allele 1","Allele 5","0.020","2.0","1.0","3.8"
"SIVsmmFTq","Allele 1","Allele 6","0.051","1.7","0.90","3.3"
"SIVsmmFTq","Allele 1","Allele 7","<0.00001",">2900*","2900",">2900*"
"SIVsmmFTq","Allele 2","Human","0.10","1.6","0.78","3.2"
"SIVsmmFTq","Allele 2","Allele 1","0.068","1.6","0.86","3.1"
"SIVsmmFTq","Allele 2","Allele 3","<0.00001","67","27","230"
"SIVsmmFTq","Allele 2","Allele 4","0.053","1.7","0.89","3.2"
"SIVsmmFTq","Allele 2","Allele 5","0.00021","3.2","1.7","6.1"
"SIVsmmFTq","Allele 2","Allele 6","0.0010","2.8","1.5","5.3"
"SIVsmmFTq","Allele 2","Allele 7","<0.00001",">4800*","4800",">4800*"
"SIVsmmFTq","Allele 3","Allele 7","0.000026",">58*","58",">58*"
"SIVsmmFTq","Allele 4","Allele 3","<0.00001","40","16","140"
"SIVsmmFTq","Allele 4","Allele 5","0.026","1.9","0.99","3.6"
"SIVsmmFTq","Allele 4","Allele 6","0.064","1.7","0.86","3.2"
"SIVsmmFTq","Allele 4","Allele 7","<0.00001",">2800*","2800",">2800*"
"SIVsmmFTq","Allele 5","Allele 3","<0.00001","21","8.4","72"
"SIVsmmFTq","Allele 5","Allele 7","<0.00001",">1500*","1500",">1500*"
"SIVsmmFTq","Allele 6","Allele 3","<0.00001","24","9.6","83"
"SIVsmmFTq","Allele 6","Allele 5","0.34","1.1","0.59","2.2"
"SIVsmmFTq","Allele 6","Allele 7","<0.00001",">1700*","1700",">1700*"
"SIVsmmSL92b","Human","Allele 3","<0.00001","12","5.4","33"
"SIVsmmSL92b","Human","Allele 4","0.038","1.9","0.94","3.8"
"SIVsmmSL92b","Human","Allele 5","0.037","1.9","0.94","3.9"
"SIVsmmSL92b","Human","Allele 6","0.0014","3.0","1.5","6.3"
"SIVsmmSL92b","Human","Allele 7","<0.00001",">1400*","1400",">1400*"
"SIVsmmSL92b","Allele 1","Human","0.13","1.5","0.74","3.0"
"SIVsmmSL92b","Allele 1","Allele 3","<0.00001","19","8.5","47"
"SIVsmmSL92b","Allele 1","Allele 4","0.00084","2.8","1.5","5.3"
"SIVsmmSL92b","Allele 1","Allele 5","0.00069","2.9","1.5","5.4"
"SIVsmmSL92b","Allele 1","Allele 6","<0.00001","4.6","2.4","8.8"
"SIVsmmSL92b","Allele 1","Allele 7","<0.00001",">2100*","2100",">2100*"
"SIVsmmSL92b","Allele 2","Human","0.061","1.7","0.86","3.5"
"SIVsmmSL92b","Allele 2","Allele 1","0.33","1.2","0.62","2.2"
"SIVsmmSL92b","Allele 2","Allele 3","<0.00001","21","9.8","54"
"SIVsmmSL92b","Allele 2","Allele 4","0.00024","3.3","1.7","6.1"
"SIVsmmSL92b","Allele 2","Allele 5","0.00018","3.3","1.7","6.2"
"SIVsmmSL92b","Allele 2","Allele 6","<0.00001","5.3","2.7","10"
"SIVsmmSL92b","Allele 2","Allele 7","<0.00001",">2400*","2400",">2400*"
"SIVsmmSL92b","Allele 3","Allele 7","0.000022",">110*","110",">110*"
"SIVsmmSL92b","Allele 4","Allele 3","<0.00001","6.6","3.0","17"
"SIVsmmSL92b","Allele 4","Allele 5","0.49","1.0","0.53","1.9"
"SIVsmmSL92b","Allele 4","Allele 6","0.076","1.6","0.84","3.1"
"SIVsmmSL92b","Allele 4","Allele 7","<0.00001",">740*","740",">740*"
"SIVsmmSL92b","Allele 5","Allele 3","<0.00001","6.5","2.9","17"
"SIVsmmSL92b","Allele 5","Allele 6","0.083","1.6","0.82","3.1"
"SIVsmmSL92b","Allele 5","Allele 7","<0.00001",">740*","740",">740*"
"SIVsmmSL92b","Allele 6","Allele 3","0.00028","4.1","1.8","10"
"SIVsmmSL92b","Allele 6","Allele 7","<0.00001",">460*","460",">460*"
"SIVwrcGM05","Human","Allele 1","0.34","1.2","0.57","2.4"
"SIVwrcGM05","Human","Allele 2","0.47","1.0","0.50","2.1"
"SIVwrcGM05","Human","Allele 3","0.35","1.2","0.55","2.4"
"SIVwrcGM05","Human","Allele 5","0.29","1.2","0.60","2.5"
"SIVwrcGM05","Human","Allele 6","0.18","1.4","0.68","2.9"
"SIVwrcGM05","Human","Allele 7","<0.00001",">460*","460",">460*"
"SIVwrcGM05","Allele 1","Allele 5","0.44","1.1","0.55","2.0"
"SIVwrcGM05","Allele 1","Allele 6","0.28","1.2","0.63","2.3"
"SIVwrcGM05","Allele 1","Allele 7","<0.00001",">400*","400",">400*"
"SIVwrcGM05","Allele 2","Allele 1","0.35","1.1","0.59","2.2"
"SIVwrcGM05","Allele 2","Allele 3","0.37","1.1","0.58","2.2"
"SIVwrcGM05","Allele 2","Allele 5","0.30","1.2","0.62","2.3"
"SIVwrcGM05","Allele 2","Allele 6","0.17","1.4","0.71","2.6"
"SIVwrcGM05","Allele 2","Allele 7","<0.00001",">460*","460",">460*"
"SIVwrcGM05","Allele 3","Allele 1","0.49","1.0","0.52","2.0"
"SIVwrcGM05","Allele 3","Allele 5","0.43","1.1","0.55","2.0"
"SIVwrcGM05","Allele 3","Allele 6","0.28","1.2","0.63","2.4"
"SIVwrcGM05","Allele 3","Allele 7","<0.00001",">410*","410",">410*"
"SIVwrcGM05","Allele 4","Human","0.50","1.0","0.49","2.1"
"SIVwrcGM05","Allele 4","Allele 1","0.32","1.2","0.61","2.2"
"SIVwrcGM05","Allele 4","Allele 2","0.46","1.0","0.54","2.0"
"SIVwrcGM05","Allele 4","Allele 3","0.33","1.2","0.60","2.2"
"SIVwrcGM05","Allele 4","Allele 5","0.26","1.2","0.64","2.3"
"SIVwrcGM05","Allele 4","Allele 6","0.15","1.4","0.74","2.7"
"SIVwrcGM05","Allele 4","Allele 7","<0.00001",">470*","470",">470*"
"SIVwrcGM05","Allele 5","Allele 6","0.34","1.2","0.60","2.2"
"SIVwrcGM05","Allele 5","Allele 7","<0.00001",">380*","380",">380*"
"SIVwrcGM05","Allele 6","Allele 7","<0.00001",">330*","330",">330*"
"TAN2","Human","Allele 1","0.030","2.0","0.97","4.0"
"TAN2","Human","Allele 3","<0.00001","7.5","3.5","17"
"TAN2","Human","Allele 5","0.015","2.2","1.1","4.4"
"TAN2","Human","Allele 6","0.00093","3.1","1.5","6.4"
"TAN2","Human","Allele 7","<0.00001",">2200*","2200",">2200*"
"TAN2","Allele 1","Allele 3","0.00014","3.8","1.9","8.5"
"TAN2","Allele 1","Allele 5","0.37","1.1","0.58","2.1"
"TAN2","Allele 1","Allele 6","0.084","1.6","0.82","3.1"
"TAN2","Allele 1","Allele 7","<0.00001",">1100*","1100",">1100*"
"TAN2","Allele 2","Human","0.15","1.4","0.72","2.9"
"TAN2","Allele 2","Allele 1","0.00074","2.8","1.5","5.3"
"TAN2","Allele 2","Allele 3","<0.00001","11","5.3","23"
"TAN2","Allele 2","Allele 4","0.17","1.4","0.73","2.5"
"TAN2","Allele 2","Allele 5","0.00029","3.1","1.7","5.9"
"TAN2","Allele 2","Allele 6","<0.00001","4.5","2.4","8.5"
"TAN2","Allele 2","Allele 7","<0.00001",">3100*","3100",">3100*"
"TAN2","Allele 3","Allele 7","<0.00001",">280*","280",">280*"
"TAN2","Allele 4","Human","0.44","1.1","0.53","2.1"
"TAN2","Allele 4","Allele 1","0.013","2.1","1.1","3.9"
"TAN2","Allele 4","Allele 3","<0.00001","8.0","3.9","17"
"TAN2","Allele 4","Allele 5","0.0053","2.3","1.2","4.3"
"TAN2","Allele 4","Allele 6","0.00015","3.3","1.7","6.3"
"TAN2","Allele 4","Allele 7","<0.00001",">2300*","2300",">2300*"
"TAN2","Allele 5","Allele 3","0.00041","3.5","1.7","7.7"
"TAN2","Allele 5","Allele 6","0.14","1.4","0.74","2.8"
"TAN2","Allele 5","Allele 7","<0.00001",">1000*","1000",">1000*"
"TAN2","Allele 6","Allele 3","0.0096","2.4","1.2","5.4"
"TAN2","Allele 6","Allele 7","<0.00001",">690*","690",">690*"
